Directory Name:
data/Young healthy volunteer_0[00-38].obj

Number of beutels: 38

Version: v-280223

Beutel, Total Volume, Total Surface Area, Total Curvature, Volume Inflow Tract, Volume Outflow Tract, Volume Septal Body, Volume Free-wall Body, Volume Septal Apex, Volume Free-wal Apex, Surface Area Inflow Tract, Surface Area Outflow Tract, Surface Area Septal Body, Surface Area Free-wall Body, Surface Area Septal Apex, Surface Area Free-wal Apex,Curvature Inflow Tract, Curvature Outflow Tract, Curvature Septal Body, Curvature Free-wall Body, Curvature Septal Apex, Curvature Free-wal Apex, Minimum Curvature, Maximum Curvature
19, 115.959351 , 15440.286133, 0.032067,  22.531077, 24.322387, 19.220826, 47.145185, 10.801251, 8.956652, 3000.070902, 3238.588367, 2559.302478, 6277.502741, 1438.214347, 1192.601236, 0.054337, 0.034273, 0.067057, 0.061648, 0.092713, 0.079299, -0.33007, 0.76332
20, 126.932106 , 16165.427734, 0.031724,  23.615935, 26.262278, 20.815077, 53.123209, 11.725075, 9.841395, 3007.605530, 3344.630338, 2650.902500, 6765.502009, 1493.245997, 1253.350041, 0.053620, 0.036805, 0.067157, 0.063192, 0.093534, 0.080035, -0.30721, 0.77063
21, 134.105377 , 16674.472656, 0.031546,  24.315664, 27.496283, 21.913212, 56.973096, 12.393582, 10.410085, 3023.374980, 3418.848561, 2724.657490, 7083.953432, 1541.000354, 1294.375170, 0.053424, 0.038120, 0.067529, 0.064260, 0.094242, 0.080364, -0.28976, 0.77562
22, 136.603378 , 16863.503906, 0.031295,  24.590617, 27.923024, 22.446284, 58.044940, 12.766024, 10.613928, 3035.678681, 3447.059858, 2770.963649, 7165.570072, 1575.948598, 1310.275240, 0.053320, 0.038098, 0.068802, 0.064104, 0.092410, 0.080052, -0.28409, 0.76991
23, 135.568161 , 16820.355469, 0.031244,  24.540297, 27.722443, 22.398101, 57.308533, 12.776000, 10.502667, 3044.789355, 3439.607890, 2779.000559, 7110.444041, 1585.157204, 1303.097858, 0.053382, 0.037698, 0.069208, 0.063692, 0.091527, 0.080123, -0.28507, 0.77233
24, 132.982361 , 16644.884766, 0.031322,  24.323683, 27.274196, 21.989845, 55.915266, 12.542945, 10.275617, 3044.500509, 3413.804670, 2752.383180, 6998.695707, 1569.951484, 1286.158961, 0.053365, 0.037295, 0.068901, 0.063398, 0.091548, 0.080179, -0.29001, 0.77387
25, 130.988251 , 16496.990234, 0.031371,  24.159563, 26.932836, 21.700376, 54.801549, 12.364362, 10.119505, 3042.716110, 3391.989061, 2732.999918, 6901.844764, 1557.198860, 1274.475914, 0.053666, 0.036855, 0.068796, 0.063052, 0.091301, 0.080073, -0.29498, 0.77087
26, 129.450577 , 16395.080078, 0.031460,  24.007234, 26.657035, 21.465226, 54.006220, 12.204825, 9.987314, 3040.547002, 3376.147731, 2718.598360, 6839.957078, 1545.756688, 1264.906077, 0.053669, 0.036737, 0.068526, 0.062939, 0.091595, 0.080153, -0.29848, 0.77243
27, 128.834366 , 16357.153320, 0.031514,  23.931472, 26.546004, 21.346916, 53.739063, 12.112868, 9.939774, 3038.403215, 3370.351192, 2710.261209, 6822.854266, 1537.881897, 1261.980059, 0.053732, 0.036677, 0.068288, 0.062969, 0.091917, 0.080168, -0.29957, 0.77407
28, 128.454575 , 16336.156250, 0.031580,  23.877033, 26.474898, 21.265750, 53.599268, 12.047087, 9.904534, 3036.551613, 3366.934096, 2704.462826, 6816.464350, 1532.083199, 1259.604949, 0.053748, 0.036729, 0.068070, 0.063060, 0.092366, 0.080259, -0.30000, 0.77681
29, 128.198090 , 16319.641602, 0.031646,  23.821156, 26.435796, 21.181458, 53.535708, 12.001607, 9.873016, 3032.437867, 3365.282027, 2696.403839, 6815.106252, 1527.806997, 1256.836901, 0.053735, 0.036885, 0.067936, 0.063154, 0.092654, 0.080329, -0.30004, 0.77929
30, 127.929520 , 16307.842773, 0.031696,  23.765501, 26.392922, 21.101506, 53.447371, 11.972481, 9.838803, 3029.512157, 3364.443262, 2689.918889, 6813.214711, 1526.194453, 1254.203404, 0.053806, 0.036951, 0.067904, 0.063219, 0.092657, 0.080355, -0.29965, 0.78245
31, 127.594795 , 16288.480469, 0.031692,  23.714655, 26.340627, 21.030721, 53.282651, 11.956374, 9.796791, 3027.362309, 3362.588303, 2684.737059, 6801.949696, 1526.325249, 1250.637514, 0.053486, 0.036975, 0.068038, 0.063206, 0.092456, 0.080357, -0.29953, 0.78453
32, 127.217941 , 16268.905273, 0.031714,  23.664558, 26.278297, 20.962270, 53.076612, 11.952703, 9.745608, 3026.274913, 3360.525506, 2680.700413, 6787.551871, 1528.537512, 1246.289410, 0.053433, 0.037021, 0.068177, 0.063165, 0.092169, 0.080393, -0.29941, 0.78676
33, 127.888588 , 16320.349609, 0.031699,  23.725633, 26.390115, 21.077354, 53.410579, 12.043851, 9.790550, 3027.718520, 3367.743152, 2689.761503, 6815.927631, 1536.961686, 1249.409423, 0.053367, 0.037236, 0.068334, 0.063244, 0.092022, 0.080455, -0.29736, 0.78824
34, 131.552063 , 16603.015625, 0.031610,  24.126743, 26.986491, 21.737870, 55.265074, 12.420110, 10.072894, 3045.004853, 3405.929870, 2743.508235, 6974.932979, 1567.525917, 1271.286801, 0.053214, 0.037924, 0.068651, 0.063781, 0.092413, 0.080711, -0.28874, 0.79514
35, 139.082245 , 17207.982422, 0.031442,  24.903081, 28.196821, 23.085842, 59.152160, 13.178475, 10.653978, 3081.139241, 3488.657966, 2856.300975, 7318.614241, 1630.509771, 1318.165794, 0.053076, 0.039080, 0.069195, 0.064931, 0.093384, 0.081225, -0.27121, 0.81417
36, 147.714355 , 17863.943359, 0.031462,  25.733162, 29.601350, 24.568001, 63.694734, 14.049615, 11.303418, 3112.058675, 3579.860790, 2971.149052, 7702.969057, 1699.100458, 1366.987057, 0.054197, 0.040818, 0.069774, 0.066277, 0.094392, 0.081819, -0.25491, 0.82975
37, 152.458603 , 18224.386719, 0.031401,  26.152625, 30.386238, 25.295416, 66.311257, 14.497621, 11.650860, 3126.196409, 3632.268187, 3023.728526, 7926.623606, 1732.996659, 1392.704481, 0.054015, 0.041649, 0.069793, 0.067161, 0.095119, 0.082114, -0.24672, 0.83873
38, 150.922302 , 18149.470703, 0.031480,  25.961211, 30.128728, 25.030124, 65.571857, 14.298192, 11.518789, 3122.018389, 3623.191729, 3010.048683, 7885.477480, 1719.458221, 1385.215483, 0.054152, 0.041421, 0.069616, 0.067146, 0.095122, 0.082113, -0.24729, 0.84591
